date,product,quantity,total
2026-04-27,coffee,1,30000
2026-04-27,tea,1,20000
2026-04-28,cake,1,25000
2026-04-28,coffee,1,30000
2026-04-29,tea,1,20000
2026-04-29,cake,1,25000
2026-04-29,coffee,2,600002026-05-11 13:51:37,Tea,2,2.5
2026-05-11 13:51:40,Tea,1,2.5
2026-05-11 13:51:43,Coffee,3,3.5
2026-05-11 13:51:46,Bread,3,2.0
2026-05-11 13:51:49,Coffee,2,3.5
2026-05-11 13:51:52,Coffee,1,3.5
2026-05-11 13:51:55,Tea,3,2.5
2026-05-11 13:58:12,Bread,3,2.0
2026-05-11 13:58:15,Bread,1,2.0
2026-05-11 13:58:18,Cake,2,4.5
2026-05-11 13:58:21,Cake,2,4.5
2026-05-11 13:58:24,Coffee,3,3.5
2026-05-11 13:58:27,Bread,2,2.0
